epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,778.42,1.70071,0.86914,0.89812,0.93997,0.77524,0.90059,0.48033,1.67123,0.83233,0.84538,0.0004358,0.0004358,0.0004358
160,785.2,1.68558,0.85241,0.87995,0.87428,0.82178,0.89254,0.47485,1.64427,0.86338,0.84385,0.0004259,0.0004259,0.0004259
161,791.794,1.72534,0.85587,0.9003,0.90242,0.87129,0.90097,0.48337,1.67431,0.83017,0.84971,0.000416,0.000416,0.000416
162,798.317,1.70844,0.86316,0.903,0.89052,0.88594,0.9052,0.48038,1.66545,0.86828,0.84743,0.0004061,0.0004061,0.0004061
163,804.232,1.67015,0.81372,0.88946,0.80961,0.85149,0.86785,0.46685,1.67982,0.82357,0.85435,0.0003962,0.0003962,0.0003962
164,811.091,1.68279,0.87213,0.8915,0.83615,0.85895,0.89394,0.4914,1.55831,0.82602,0.8315,0.0003863,0.0003863,0.0003863
165,816.401,1.65257,0.82907,0.87876,0.85897,0.84429,0.899,0.45898,1.67646,0.8485,0.83718,0.0003764,0.0003764,0.0003764
166,820.733,1.75124,0.86595,0.91287,0.86797,0.88119,0.90042,0.47724,1.6086,0.81505,0.83746,0.0003665,0.0003665,0.0003665
167,825.072,1.64334,0.80952,0.89598,0.90772,0.86139,0.9001,0.49383,1.60255,0.8328,0.83849,0.0003566,0.0003566,0.0003566
168,829.37,1.72373,0.86156,0.8854,0.87645,0.88119,0.9011,0.48154,1.6944,0.84404,0.84729,0.0003467,0.0003467,0.0003467
169,833.8,1.65783,0.82516,0.8929,0.87604,0.8397,0.89659,0.45941,1.66254,0.84339,0.84866,0.0003368,0.0003368,0.0003368
170,838.169,1.6961,0.83291,0.88888,0.8446,0.86099,0.90015,0.45064,1.7092,0.86661,0.85431,0.0003269,0.0003269,0.0003269
171,842.51,1.64472,0.81937,0.89654,0.84759,0.88097,0.89609,0.47167,1.63222,0.82429,0.841,0.000317,0.000317,0.000317
172,846.837,1.63707,0.857,0.89513,0.86555,0.88119,0.89631,0.49639,1.64981,0.83277,0.8439,0.0003071,0.0003071,0.0003071
173,852.187,1.70406,0.81593,0.90211,0.85278,0.86139,0.88738,0.45528,1.66335,0.84057,0.83914,0.0002972,0.0002972,0.0002972
174,859.869,1.65549,0.83689,0.87627,0.83525,0.85335,0.88509,0.45604,1.64709,0.85478,0.8507,0.0002873,0.0002873,0.0002873
175,865.87,1.6282,0.82254,0.86965,0.8399,0.88303,0.89752,0.49918,1.66068,0.82954,0.86331,0.0002774,0.0002774,0.0002774
176,872.29,1.60776,0.80007,0.87967,0.8747,0.84158,0.88768,0.44749,1.66911,0.86917,0.84897,0.0002675,0.0002675,0.0002675
177,878.734,1.7114,0.85323,0.91797,0.86038,0.87129,0.89055,0.47185,1.65591,0.84787,0.84546,0.0002576,0.0002576,0.0002576
178,883.458,1.71079,0.88403,0.8847,0.85462,0.84158,0.87884,0.48237,1.62023,0.85095,0.84669,0.0002477,0.0002477,0.0002477
179,887.806,1.63063,0.81358,0.88044,0.85594,0.84158,0.89226,0.47449,1.62251,0.84209,0.8452,0.0002378,0.0002378,0.0002378
180,892.393,1.61228,0.82234,0.89425,0.91092,0.80995,0.89285,0.46957,1.65343,0.88625,0.84825,0.0002279,0.0002279,0.0002279
181,896.855,1.6369,0.82637,0.88528,0.84493,0.86317,0.88509,0.48116,1.6254,0.86718,0.85042,0.000218,0.000218,0.000218
182,901.222,1.6643,0.85837,0.86871,0.87075,0.88119,0.89252,0.48196,1.66502,0.83848,0.85578,0.0002081,0.0002081,0.0002081
183,905.56,1.64199,0.82667,0.8809,0.84047,0.8868,0.89271,0.47514,1.65814,0.82762,0.85585,0.0001982,0.0001982,0.0001982
